step,phase,t_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,fwd_progress_m,lat_offset_m,speed_ms,front_d_m,min_depth_m,prox_alarm,depth_top,depth_mid,depth_bot,tgt_x,tgt_y,tgt_z,collision,near_miss,armed,mode
83,OUTBOUND,8.42,14.907,1.519,1.648,-38.682,0.401,-0.678,14.907,1.919,38.682,3.318,1.831,1,2.616,3.367,3.314,27.268,0.93,1.615,0,0,0,OFFBOARD
84,OUTBOUND,8.53,15.111,1.564,1.646,-38.682,0.401,-0.678,15.111,1.964,38.682,3.176,1.758,1,3.079,3.224,3.174,27.387,0.724,1.609,0,0,0,OFFBOARD
85,OUTBOUND,8.63,15.315,1.592,1.643,-38.682,0.401,-0.678,15.315,1.993,38.682,3.039,1.706,1,3.123,3.084,3.036,27.487,0.531,1.603,0,0,0,OFFBOARD
86,OUTBOUND,8.73,15.521,1.603,1.64,-38.682,0.401,-0.678,15.521,2.003,38.682,2.9,1.731,1,3.126,2.942,2.896,27.587,0.347,1.599,0,0,0,OFFBOARD
87,OUTBOUND,8.83,15.723,1.593,1.637,-38.682,0.401,-0.678,15.723,1.993,38.682,2.71,1.622,1,2.878,2.756,2.707,27.687,0.144,1.596,0,0,0,OFFBOARD
88,OUTBOUND,8.93,15.927,1.561,1.634,-38.682,0.401,-0.678,15.927,1.961,38.682,2.568,1.482,1,2.697,2.619,2.565,27.787,-0.056,1.595,0,0,0,OFFBOARD
89,OUTBOUND,9.04,16.131,1.504,1.63,-38.682,0.401,-0.678,16.131,1.904,38.682,2.425,1.852,1,3.326,2.484,2.422,27.887,-0.214,1.594,0,0,0,OFFBOARD
90,OUTBOUND,9.14,16.333,1.425,1.627,-38.682,0.401,-0.678,16.333,1.825,38.682,2.284,1.965,1,3.474,2.374,2.276,27.987,-0.398,1.594,0,0,0,OFFBOARD
91,OUTBOUND,9.24,16.535,1.324,1.623,-38.682,0.401,-0.678,16.535,1.724,38.682,2.2,2.078,0,3.334,5.747,2.145,28.087,-0.598,1.595,0,0,0,OFFBOARD
92,OUTBOUND,9.34,16.737,1.202,1.62,-38.682,0.401,-0.678,16.737,1.602,38.682,4.291,1.968,1,3.225,5.72,2.322,28.275,-0.81,1.596,0,0,0,OFFBOARD
93,OUTBOUND,9.44,16.939,1.063,1.617,-38.682,0.401,-0.678,16.939,1.463,38.682,5.342,1.842,1,3.888,6.601,4.091,28.488,-1.012,1.594,0,0,0,OFFBOARD
94,OUTBOUND,9.54,17.143,0.908,1.614,-38.682,0.401,-0.678,17.143,1.308,38.682,5.147,1.697,1,3.891,10.0,4.091,28.656,-1.226,1.591,0,0,0,OFFBOARD
95,OUTBOUND,9.64,17.345,0.745,1.611,-38.682,0.401,-0.678,17.345,1.145,38.682,5.083,2.534,0,3.715,10.0,4.086,28.8,-1.323,1.587,0,0,0,OFFBOARD
96,OUTBOUND,9.74,17.547,0.574,1.609,-38.682,0.401,-0.678,17.547,0.974,38.682,5.872,3.107,0,4.295,10.0,4.076,29.051,-1.365,1.584,0,0,0,OFFBOARD
97,OUTBOUND,9.84,17.749,0.398,1.606,-38.682,0.401,-0.678,17.749,0.798,38.682,5.803,3.291,0,4.33,10.0,4.067,29.371,-1.368,1.581,0,0,0,OFFBOARD
98,OUTBOUND,9.95,17.951,0.219,1.604,-38.682,0.401,-0.678,17.951,0.619,38.682,5.753,3.299,0,4.257,10.0,4.06,29.735,-1.349,1.58,0,0,0,OFFBOARD
99,OUTBOUND,10.05,18.155,0.035,1.601,-38.682,0.401,-0.678,18.155,0.435,38.682,6.07,3.896,0,4.147,10.0,4.054,30.129,-1.304,1.579,0,0,0,OFFBOARD
100,OUTBOUND,10.15,18.357,-0.148,1.599,-38.682,0.401,-0.678,18.357,0.252,38.682,6.098,3.866,0,4.01,10.0,4.048,30.542,-1.241,1.581,0,0,0,OFFBOARD
101,OUTBOUND,10.25,18.559,-0.331,1.597,-38.682,0.401,-0.678,18.559,0.069,38.682,6.051,3.581,0,3.958,10.0,4.043,30.967,-1.155,1.584,0,0,0,OFFBOARD
102,OUTBOUND,10.35,18.763,-0.513,1.595,-38.682,0.401,-0.678,18.763,-0.113,38.682,6.03,3.316,0,4.31,10.0,4.044,31.401,-1.052,1.588,0,0,0,OFFBOARD
103,OUTBOUND,10.45,18.965,-0.686,1.593,-38.682,0.401,-0.678,18.965,-0.286,38.682,5.86,3.062,0,4.364,10.0,4.042,31.84,-0.933,1.592,0,0,0,OFFBOARD
104,OUTBOUND,10.55,19.167,-0.847,1.592,-38.682,0.401,-0.678,19.167,-0.447,38.682,5.66,2.831,0,4.32,10.0,4.029,32.282,-0.798,1.598,0,0,0,OFFBOARD
105,OUTBOUND,10.65,19.371,-0.992,1.591,-38.682,0.401,-0.678,19.371,-0.592,38.682,5.46,2.63,0,4.203,6.87,4.015,32.726,-0.651,1.603,0,0,0,OFFBOARD
106,OUTBOUND,10.76,19.573,-1.114,1.591,-38.682,0.401,-0.678,19.573,-0.714,38.682,5.26,2.469,0,4.003,6.516,4.005,33.094,-0.491,1.609,0,0,0,OFFBOARD
107,OUTBOUND,10.86,19.775,-1.21,1.591,-38.682,0.401,-0.678,19.775,-0.81,38.682,5.058,2.34,0,3.801,6.314,4.0,33.397,-0.321,1.615,0,0,0,OFFBOARD
108,OUTBOUND,10.96,19.979,-1.278,1.592,-38.682,0.401,-0.678,19.979,-0.878,38.682,4.86,2.248,0,3.603,6.116,3.998,33.711,-0.142,1.621,0,0,0,OFFBOARD
